filename, test_acc, color_space, hog_orient, hog_pix_per_cell,hog_cell_per_block, hog_channels, spatial_size, hist_bins
model_YUV_11_ALL_16.p,0.990811237,YUV,11,16,2,ALL,16,32
model_LUV_11_ALL_16.p,0.988973484,LUV,11,16,2,ALL,16,32
model_YUV_7_ALL_16.p,0.987660803,YUV,7,16,2,ALL,16,32
model_LUV_9_ALL_16.p,0.987135731,LUV,9,16,2,ALL,16,32
model_LUV_11_ALL_8.p,0.985823051,LUV,11,8,2,ALL,16,32
model_YUV_9_ALL_16.p,0.985823051,YUV,9,16,2,ALL,16,32
model_LUV_9_ALL_8.p,0.985560515,LUV,9,8,2,ALL,16,32
model_YUV_11_ALL_8.p,0.985297978,YUV,11,8,2,ALL,16,32
model_LUV_7_ALL_16.p,0.984772906,LUV,7,16,2,ALL,16,32
model_LUV_7_ALL_8.p,0.984772906,LUV,7,8,2,ALL,16,32
model_YCbCr_9_ALL_16.p,0.98451037,YCbCr,9,16,2,ALL,16,32
model_YUV_11_0_16.p,0.98319769,YUV,11,16,2,0,16,32
model_YUV_7_ALL_8.p,0.98319769,YUV,7,8,2,ALL,16,32
model_YCbCr_11_0_16.p,0.982935154,YCbCr,11,16,2,0,16,32
model_YUV_9_ALL_8.p,0.982935154,YUV,9,8,2,ALL,16,32
model_YUV_9_0_8.p,0.982672617,YUV,9,8,2,0,16,32
model_YCbCr_9_1_16.p,0.980309793,YCbCr,9,16,2,1,16,32
model_YCbCr_11_1_8.p,0.980047256,YCbCr,11,8,2,1,16,32
model_LUV_11_1_16.p,0.979522184,LUV,11,16,2,1,16,32
model_LUV_9_0_8.p,0.979259648,LUV,9,8,2,0,16,32
model_YUV_7_0_8.p,0.979259648,YUV,7,8,2,0,16,32
model_YCbCr_11_1_16.p,0.978997112,YCbCr,11,16,2,1,16,32
model_YCbCr_7_0_16.p,0.978997112,YCbCr,7,16,2,0,16,32
model_YCbCr_11_ALL_16.p,0.978734576,YCbCr,11,16,2,ALL,16,32
model_YCbCr_7_1_16.p,0.978734576,YCbCr,7,16,2,1,16,32
model_YCbCr_7_ALL_16.p,0.978734576,YCbCr,7,16,2,ALL,16,32
model_YCbCr_9_0_16.p,0.97847204,YCbCr,9,16,2,0,16,32
model_YUV_9_1_8.p,0.97847204,YUV,9,8,2,1,16,32
model_LUV_9_1_16.p,0.978209504,LUV,9,16,2,1,16,32
model_YCbCr_11_0_8.p,0.978209504,YCbCr,11,8,2,0,16,32
model_LUV_7_0_8.p,0.977946968,LUV,7,8,2,0,16,32
model_LUV_9_1_8.p,0.977946968,LUV,9,8,2,1,16,32
model_YCbCr_7_2_16.p,0.977946968,YCbCr,7,16,2,2,16,32
model_LUV_9_0_16.p,0.977684432,LUV,9,16,2,0,16,32
model_LUV_11_1_8.p,0.977421896,LUV,11,8,2,1,16,32
model_YUV_7_0_16.p,0.977421896,YUV,7,16,2,0,16,32
model_YUV_11_1_8.p,0.977159359,YUV,11,8,2,1,16,32
model_LUV_11_0_8.p,0.976896823,LUV,11,8,2,0,16,32
model_YCbCr_11_2_16.p,0.976896823,YCbCr,11,16,2,2,16,32
model_YCbCr_7_0_8.p,0.976896823,YCbCr,7,8,2,0,16,32
model_YCbCr_9_2_16.p,0.976896823,YCbCr,9,16,2,2,16,32
model_YUV_7_1_8.p,0.976896823,YUV,7,8,2,1,16,32
model_YUV_9_1_16.p,0.976896823,YUV,9,16,2,1,16,32
model_LUV_7_1_16.p,0.976371751,LUV,7,16,2,1,16,32
model_YUV_11_0_8.p,0.975846679,YUV,11,8,2,0,16,32
model_YCbCr_7_1_8.p,0.975584143,YCbCr,7,8,2,1,16,32
model_LUV_7_1_8.p,0.975321607,LUV,7,8,2,1,16,32
model_YCbCr_9_1_8.p,0.975321607,YCbCr,9,8,2,1,16,32
model_LUV_11_0_16.p,0.974796535,LUV,11,16,2,0,16,32
model_YCbCr_7_2_8.p,0.974533998,YCbCr,7,8,2,2,16,32
model_YCbCr_9_2_8.p,0.974271462,YCbCr,9,8,2,2,16,32
model_YCbCr_9_ALL_8.p,0.974271462,YCbCr,9,8,2,ALL,16,32
model_YCbCr_11_2_8.p,0.97374639,YCbCr,11,8,2,2,16,32
model_LUV_7_0_16.p,0.973221318,LUV,7,16,2,0,16,32
model_YUV_11_1_16.p,0.973221318,YUV,11,16,2,1,16,32
model_YUV_9_0_16.p,0.973221318,YUV,9,16,2,0,16,32
model_YCbCr_9_0_8.p,0.972958782,YCbCr,9,8,2,0,16,32
model_YCbCr_7_ALL_8.p,0.971908637,YCbCr,7,8,2,ALL,16,32
model_YUV_7_1_16.p,0.971121029,YUV,7,16,2,1,16,32
model_LUV_11_2_8.p,0.970333421,LUV,11,8,2,2,16,32
model_LUV_9_2_8.p,0.96902074,LUV,9,8,2,2,16,32
model_LUV_11_2_16.p,0.968495668,LUV,11,16,2,2,16,32
model_YUV_11_2_16.p,0.968495668,YUV,11,16,2,2,16,32
model_YCbCr_11_ALL_8.p,0.967970596,YCbCr,11,8,2,ALL,16,32
model_YUV_9_2_8.p,0.966395379,YUV,9,8,2,2,16,32
model_YUV_7_2_16.p,0.965082699,YUV,7,16,2,2,16,32
model_LUV_9_2_16.p,0.964295091,LUV,9,16,2,2,16,32
model_YUV_7_2_8.p,0.962719874,YUV,7,8,2,2,16,32
model_LUV_7_2_16.p,0.962457338,LUV,7,16,2,2,16,32
model_LUV_7_2_8.p,0.962457338,LUV,7,8,2,2,16,32
model_YUV_11_2_8.p,0.962457338,YUV,11,8,2,2,16,32
model_YUV_9_2_16.p,0.96166973,YUV,9,16,2,2,16,32
